Full name,Faction,Sort_class,Enemy,Sort_part,Part,Show Main,Main view,Alt view,Credit (3D model). Additional modifications such as highlighting and identification of parts are done by myself.,HP,Armor,Durability,To main,Tag,Demo,ExDR,BaDR,Fire Mult,Correction,Constitution,Main cap,ExVM,Light stagger,Medium stagger,Heavy stagger,Massive stagger,,Notes
Illuminates / Heavy / Harvester (OUTDATED) / Shell (each),Illuminates,10,Heavy / Harvester (OUTDATED),4,Shell (each),--,https://i.postimg.cc/cHwJSZzs/side-Right-shell.jpg,https://i.postimg.cc/wv86FZjn/front-shell.jpg,Discord : asunderknight / dumplayz,800,4,75%,5%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Destroying a shell reveals the associated internals.
Illuminates / Heavy / Harvester (OUTDATED) / Shell weakspot (each),Illuminates,10,Heavy / Harvester (OUTDATED),5,Shell weakspot (each),--,https://i.postimg.cc/CMCKrhD7/back-Shell-weakspot.jpg,https://i.postimg.cc/CMCKrhD7/back-Shell-weakspot.jpg,Discord : asunderknight / dumplayz,500,1,80%,0%,Non lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,Destroys the associated shell.
Illuminates / Heavy / Harvester (OUTDATED) / Internals (each),Illuminates,10,Heavy / Harvester (OUTDATED),6,Internals (each),--,https://i.postimg.cc/PJt1tkq3/Side-internal-shell-B.jpg,https://i.postimg.cc/Z50FBZxX/back-internals.jpg,Discord : asunderknight / dumplayz,800,2,50%,70%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Outer shell must be breached first.
Illuminates / Heavy / Harvester (OUTDATED) / Hip joint (each),Illuminates,10,Heavy / Harvester (OUTDATED),7,Hip joint (each),--,https://i.postimg.cc/3NQd4WG4/front-Hip-joint.jpg,https://i.postimg.cc/MGhGNXdP/side-Hip-joint.jpg,Discord : asunderknight / dumplayz,1000,3,50%,60%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Heavy / Harvester (OUTDATED) / Leg armor (each),Illuminates,10,Heavy / Harvester (OUTDATED),8,Leg armor (each),--,https://i.postimg.cc/RVRNhSZh/side-Leg-armour.jpg,https://i.postimg.cc/4d6X0PKy/front-Leg-armour.jpg,Discord : asunderknight / dumplayz,900,4,75%,0%,Non lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,Each leg is made up of a breakable armour pieces that reveal the part underneath (shin / thigh).
Illuminates / Heavy / Harvester (OUTDATED) / Foot (each),Illuminates,10,Heavy / Harvester (OUTDATED),9,Foot (each),--,https://i.postimg.cc/wjj3sC1V/side-foot.jpg,https://i.postimg.cc/NjnG25qs/front-Foot.jpg,Discord : asunderknight / dumplayz,1000,3,25%,60%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Each leg is made up of a breakable armour pieces that reveal the part underneath (shin / thigh).
Illuminates / Heavy / Harvester (OUTDATED) / Thigh (each),Illuminates,10,Heavy / Harvester (OUTDATED),10,Thigh (each),--,https://i.postimg.cc/7Pmjyrm3/Side-Exposed-thigh.jpg,https://i.postimg.cc/7hYcTKYJ/Front-Exposed-thigh.jpg,Discord : asunderknight / dumplayz,1000,3,25%,45%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Each leg is made up of a breakable armour pieces that reveal the part underneath (shin / thigh).
Illuminates / Heavy / Harvester (OUTDATED) / Shin (each),Illuminates,10,Heavy / Harvester (OUTDATED),11,Shin (each),--,https://i.postimg.cc/Y0nPNQhn/Side-Exposed-Shin.jpg,https://i.postimg.cc/zBk6Bs51/Front-Exposed-Shin.jpg,Discord : asunderknight / dumplayz,1000,3,25%,60%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Each leg is made up of a breakable armour pieces that reveal the part underneath (shin / thigh).
Illuminates / Heavy / Harvester (OUTDATED) / Energy shield,Illuminates,10,Heavy / Harvester (OUTDATED),12,Energy shield,--,https://i.postimg.cc/hPYnzQmC/Shield.jpg,https://i.postimg.cc/hPYnzQmC/Shield.jpg,Arrowhead Studios,1500,0,0%,0%,Non lethal,--,0%,0%,0%,0,0,--,OuterRadius,--,--,--,--,,No notes.
Illuminates / Other / Grounded Warp ship (OUTDATED) / Inner,Illuminates,11,Other / Grounded Warp ship (OUTDATED),1,Inner,--,https://i.postimg.cc/KYSyQXJB/Inner.jpg,https://i.postimg.cc/KYSyQXJB/Inner.jpg,Discord : lettric,--,--,--,--,Lethal,20,0%,100%,0%,0,0,--,OuterRadius,--,--,--,--,,No notes.
Illuminates / Other / Grounded Warp ship (OUTDATED) / Outer,Illuminates,11,Other / Grounded Warp ship (OUTDATED),2,Outer,--,https://i.postimg.cc/d1f7pdQv/Outer.jpg,https://i.postimg.cc/d1f7pdQv/Outer.jpg,Discord : lettric,2000,20,0%,--,Lethal,50,0%,100%,0%,0,0,--,OuterRadius,--,--,--,--,,No notes.
Illuminates / Other / Grounded Warp ship (OUTDATED) / Shield,Illuminates,11,Other / Grounded Warp ship (OUTDATED),3,Shield,--,https://i.postimg.cc/zvRLrB3h/Shield.jpg,https://i.postimg.cc/zvRLrB3h/Shield.jpg,Discord : lettric,2500,0,0%,--,Non lethal,50,0%,100%,0%,0,0,--,--,--,--,--,--,,No notes.
Terminids / Light / Scavenger / [MAIN],Terminids,1,Light / Scavenger,1,[MAIN],1,https://i.postimg.cc/DZCb7Lx8/side-main.jpg,https://i.postimg.cc/654GN7np/front-main.jpg,Discord : dark728,60,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,--,--,--,"1, 1.6, Y",,No notes.
Terminids / Light / Scavenger / Head,Terminids,1,Light / Scavenger,2,Head,--,https://i.postimg.cc/k4MbrfF0/front-head.jpg,https://i.postimg.cc/Sx0YQyf7/side-head.jpg,Discord : dark728,20,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Scavenger / Limb (each),Terminids,1,Light / Scavenger,3,Limb (each),--,https://i.postimg.cc/brsSrr5L/side-limbs.jpg,https://i.postimg.cc/7hdG2D84/front-limbs.jpg,Discord : dark728,30,0,0%,30%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Spore burst Scavenger / [MAIN],Terminids,2,Light / Spore burst Scavenger,1,[MAIN],1,https://i.postimg.cc/L8K8Gt4p/Side-main.jpg,https://i.postimg.cc/d11sGn68/front-main.jpg,Discord : asaustin565,60,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,--,--,--,"1, 1.6, Y",,No notes.
Terminids / Light / Spore burst Scavenger / Head,Terminids,2,Light / Spore burst Scavenger,2,Head,--,https://i.postimg.cc/mrVZcKYL/Side-head.jpg,https://i.postimg.cc/MGzKpzj3/front-head.jpg,Discord : asaustin565,20,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Spore burst Scavenger / Limb (each),Terminids,2,Light / Spore burst Scavenger,3,Limb (each),--,https://i.postimg.cc/C1QF7Dr9/side-limbs.jpg,https://i.postimg.cc/3xXxhkWD/front-limbs.jpg,Discord : asaustin565,30,0,0%,30%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Pouncer / [MAIN],Terminids,3,Light / Pouncer,1,[MAIN],1,https://i.postimg.cc/g0XWnwFt/side-main.jpg,https://i.postimg.cc/nzqfG6Lv/front-main.jpg,Discord : dark728,60,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,--,--,--,"1, 1.6, Y",,No notes.
Terminids / Light / Pouncer / Head,Terminids,3,Light / Pouncer,2,Head,--,https://i.postimg.cc/nLyt7HnF/side-head.jpg,https://i.postimg.cc/5y1d7nHD/front-head.jpg,Discord : dark728,20,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Pouncer / Limb (each),Terminids,3,Light / Pouncer,3,Limb (each),--,https://i.postimg.cc/3xbh8X6D/side-limbs.jpg,https://i.postimg.cc/j2XVGPP2/front-limbs.jpg,Discord : dark728,30,0,0%,30%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Bile spitter / [MAIN],Terminids,4,Light / Bile spitter,1,[MAIN],1,https://i.postimg.cc/XYFF9ZYz/side-main.jpg,https://i.postimg.cc/WzHrwgZQ/front-main.jpg,Discord : dark728,60,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,--,--,--,"1, 1.6, Y",,No notes.
Terminids / Light / Bile spitter / Head,Terminids,4,Light / Bile spitter,2,Head,--,https://i.postimg.cc/76XSbpZP/front-head.jpg,https://i.postimg.cc/281n89Rm/side-head.jpg,Discord : dark728,20,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Bile spitter / Limb (each),Terminids,4,Light / Bile spitter,3,Limb (each),--,https://i.postimg.cc/vmsnhQ1H/side-limbs.jpg,https://i.postimg.cc/nVRvxbW0/front-limbs.jpg,Discord : dark728,30,0,0%,30%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Hunter / [MAIN],Terminids,5,Light / Hunter,1,[MAIN],1,https://i.postimg.cc/cH56pZJ3/side-main.jpg,https://i.postimg.cc/cLN6yFdF/front-main.jpg,Discord : dark728,160,0,0%,--,Lethal,--,0%,0%,70%,0,0,--,OuterRadius,"1, 0.5, N",--,--,"15, 0.85, Y",,No notes.
Terminids / Light / Hunter / Head,Terminids,5,Light / Hunter,2,Head,--,https://i.postimg.cc/kMzBwnz3/front-head.jpg,https://i.postimg.cc/t4hZYLr0/side-head.jpg,Discord : dark728,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Hunter / Wing (each),Terminids,5,Light / Hunter,3,Wing (each),--,https://i.postimg.cc/wjcM6Dvg/front-wings.jpg,https://i.postimg.cc/wjcM6Dvg/front-wings.jpg,Discord : dark728,20,0,0%,30%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Hunter / Claw (each),Terminids,5,Light / Hunter,4,Claw (each),--,https://i.postimg.cc/63QybTBw/side-arms.jpg,https://i.postimg.cc/MHCHGDVK/front-arms.jpg,Discord : dark728,60,0,0%,40%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Hunter / Leg (each),Terminids,5,Light / Hunter,5,Leg (each),--,https://i.postimg.cc/zf8LW0My/side-legs.jpg,https://i.postimg.cc/9F9zn6H4/front-legs.jpg,Discord : dark728,60,0,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Predator Hunter / [MAIN],Terminids,6,Light / Predator Hunter,1,[MAIN],1,https://i.postimg.cc/RZrGrPbG/side-main.jpg,https://i.postimg.cc/tRM2kR3K/front-main.jpg,Discord : asaustin565,175,0,0%,--,Lethal,--,0%,0%,70%,0,0,--,OuterRadius,"1, 0.5, N",--,--,"15, 0.85, Y",,No notes.
Terminids / Light / Predator Hunter / Head,Terminids,6,Light / Predator Hunter,2,Head,--,https://i.postimg.cc/tgkzx9Rm/front-head.jpg,https://i.postimg.cc/YqL8sc8h/side-head.jpg,Discord : asaustin565,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Predator Hunter / Wing (each),Terminids,6,Light / Predator Hunter,3,Wing (each),--,https://i.postimg.cc/nzdT6p6Q/front-wings.jpg,https://i.postimg.cc/nzdT6p6Q/front-wings.jpg,Discord : asaustin565,20,0,0%,30%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Predator Hunter / Claw (each),Terminids,6,Light / Predator Hunter,4,Claw (each),--,https://i.postimg.cc/vTcXyCs2/side-arms.jpg,https://i.postimg.cc/vZWhGWJy/Front-arms.jpg,Discord : asaustin565,60,0,0%,40%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Predator Hunter / Leg (each),Terminids,6,Light / Predator Hunter,5,Leg (each),--,https://i.postimg.cc/W4TnzdVk/side-legs.jpg,https://i.postimg.cc/Kjwf8QcG/front-legs.jpg,Discord : asaustin565,60,0,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Spore burst Hunter / [MAIN],Terminids,7,Light / Spore burst Hunter,1,[MAIN],1,https://i.postimg.cc/zGKVfd2v/side-main.jpg,https://i.postimg.cc/k415HLG1/front-main.jpg,Discord : asaustin565,160,0,35%,--,Lethal,--,0%,0%,70%,0,0,--,OuterRadius,"1, 0.5, N",--,--,"15, 0.85, Y",,No notes.
Terminids / Light / Spore burst Hunter / Head,Terminids,7,Light / Spore burst Hunter,2,Head,--,https://i.postimg.cc/Zqm0vrXc/front-head.jpg,https://i.postimg.cc/Y2P9zcJj/side-head.jpg,Discord : asaustin565,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Light / Spore burst Hunter / Wing (each),Terminids,7,Light / Spore burst Hunter,3,Wing (each),--,https://i.postimg.cc/5yXtWpFx/front-wings.jpg,https://i.postimg.cc/5yXtWpFx/front-wings.jpg,Discord : asaustin565,20,0,0%,30%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Spore burst Hunter / Claw (each),Terminids,7,Light / Spore burst Hunter,4,Claw (each),--,https://i.postimg.cc/KjC8GLnt/side-arms.jpg,https://i.postimg.cc/Pxrx2dXv/front-arms.jpg,Discord : asaustin565,60,0,0%,40%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Spore burst Hunter / Leg (each),Terminids,7,Light / Spore burst Hunter,5,Leg (each),--,https://i.postimg.cc/BQ1vhY0p/side-legs.jpg,https://i.postimg.cc/nL1r4XJt/front-legs.jpg,Discord : asaustin565,60,0,25%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Warrior / [MAIN],Terminids,8,Light / Warrior,1,[MAIN],1,https://i.postimg.cc/g2PHJ9VR/side-main.jpg,https://i.postimg.cc/28WxrjZr/front-main.jpg,Discord : dark728,325,1,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"1, 0.5, N",--,"20, 0.85, Y","25, 0.85, Y",,No notes.
Terminids / Light / Warrior / Head,Terminids,8,Light / Warrior,2,Head,--,https://i.postimg.cc/ydW8X5T8/front-head.jpg,https://i.postimg.cc/3WQrhwQk/side-head.jpg,Discord : dark728,150,1,0%,50%,Lethal,--,100%,0%,0%,0,200,No,--,--,--,--,--,,"Reducing this part's HP to 0 triggers [200, -70/s] BleedsOut."
Terminids / Light / Warrior / Claw (each),Terminids,8,Light / Warrior,3,Claw (each),--,https://i.postimg.cc/RCNRpLC3/side-arms.jpg,https://i.postimg.cc/QCTNvTwL/front-arms.jpg,Discord : dark728,100,1,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Warrior / Leg (each),Terminids,8,Light / Warrior,4,Leg (each),--,https://i.postimg.cc/tRwzKn7B/side-legs.jpg,https://i.postimg.cc/wvPTWVWc/front-legs.jpg,Discord : dark728,100,1,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Bile warrior / [MAIN],Terminids,9,Light / Bile warrior,1,[MAIN],1,https://i.postimg.cc/8zDLGRGm/side-main.jpg,https://i.postimg.cc/Kz4nVmbX/front-main.jpg,Discord : dark728,325,1,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"1, 0.5, N",--,"20, 0.85, Y","25, 0.85, Y",,No notes.
Terminids / Light / Bile warrior / Head,Terminids,9,Light / Bile warrior,2,Head,--,https://i.postimg.cc/ZYGr7kDg/side-head.jpg,https://i.postimg.cc/26J4Ngj1/front-head.jpg,Discord : dark728,150,1,0%,50%,Lethal,--,100%,0%,0%,0,200,No,--,--,--,--,--,,"Reducing this part's HP to 0 triggers [200, -70/s] BleedsOut."
Terminids / Light / Bile warrior / Claw (each),Terminids,9,Light / Bile warrior,3,Claw (each),--,https://i.postimg.cc/59YBS9pL/side-arms.jpg,https://i.postimg.cc/Zqw8VC1F/front-arms.jpg,Discord : dark728,100,1,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Bile warrior / Leg (each),Terminids,9,Light / Bile warrior,4,Leg (each),--,https://i.postimg.cc/jdyyB8pj/side-legs.jpg,https://i.postimg.cc/CKhCGj6x/front-legs.jpg,Discord : dark728,100,1,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Spore burst Warrior / [MAIN],Terminids,10,Light / Spore burst Warrior,1,[MAIN],1,https://i.postimg.cc/ydVJtFPd/side-main.jpg,https://i.postimg.cc/HnnrsdF1/Front-main.jpg,Discord : asaustin565,325,1,50%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"1, 0.5, N",--,"20, 0.85, Y","25, 0.85, Y",,No notes.
Terminids / Light / Spore burst Warrior / Head,Terminids,10,Light / Spore burst Warrior,2,Head,--,https://i.postimg.cc/J4ysf7bb/side-head.jpg,https://i.postimg.cc/KY7k09tw/Front-head.jpg,Discord : asaustin565,150,1,40%,100%,Lethal,--,100%,0%,0%,0,200,No,--,--,--,--,--,,"Reducing this part's HP to 0 triggers [200, -65/s] BleedsOut."
Terminids / Light / Spore burst Warrior / Claw (each),Terminids,10,Light / Spore burst Warrior,3,Claw (each),--,https://i.postimg.cc/kMYVYRtJ/side-arms.jpg,https://i.postimg.cc/G2qBCH7j/Front-arms.jpg,Discord : asaustin565,100,1,25%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Light / Spore burst Warrior / Leg (each),Terminids,10,Light / Spore burst Warrior,4,Leg (each),--,https://i.postimg.cc/mrW1Nx17/side-legs.jpg,https://i.postimg.cc/j21LDBrw/Front-legs.jpg,Discord : asaustin565,100,1,35%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Hive guard / [MAIN],Terminids,11,Medium / Hive guard,1,[MAIN],1,https://i.postimg.cc/qMcC1NKh/side-main.jpg,https://i.postimg.cc/zvZVjNXF/front-main.jpg,Discord : dark728,500,2,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"1, 0.5, N",--,"20, 0.85, Y","25, 0.85, Y",,No notes.
Terminids / Medium / Hive guard / Head,Terminids,11,Medium / Hive guard,2,Head,--,https://i.postimg.cc/Px8CYJhq/front-head.jpg,https://i.postimg.cc/bNft0xZf/side-head.jpg,Discord : dark728,250,3,0%,75%,Lethal,--,100%,0%,0%,0,200,No,--,--,--,--,--,,"Reducing this part's HP to 0 triggers [200, -75/s] BleedsOut."
Terminids / Medium / Hive guard / Claw (each),Terminids,11,Medium / Hive guard,3,Claw (each),--,https://i.postimg.cc/tCbsn9cX/side-arms.jpg,https://i.postimg.cc/mgb1JT3d/front-arms.jpg,Discord : dark728,100,2,0%,25%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Hive guard / Front leg (each),Terminids,11,Medium / Hive guard,4,Front leg (each),--,https://i.postimg.cc/bNRsQKX1/side-frontleg.jpg,https://i.postimg.cc/q7FtNnPY/front-frontleg.jpg,Discord : dark728,125,3,0%,45%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Hive guard / Rear leg (each),Terminids,11,Medium / Hive guard,5,Rear leg (each),--,https://i.postimg.cc/1Rwgz8JC/side-backleg.jpg,https://i.postimg.cc/mrkzZV5C/front-backleg.jpg,Discord : dark728,125,1,0%,35%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Brood commander / [MAIN],Terminids,12,Medium / Brood commander,1,[MAIN],1,https://i.postimg.cc/Dy7zyBW0/side-main.jpg,https://i.postimg.cc/d0g1sFdc/front-main.jpg,Discord : dark728,800,2,60%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"10, 0.5, N",--,"25, 0.85, Y","30, 0.85, Y",,No notes.
Terminids / Medium / Brood commander / Head,Terminids,12,Medium / Brood commander,2,Head,--,https://i.postimg.cc/GtCmDjqM/side-head.jpg,https://i.postimg.cc/Xvrq6qrg/front-head.jpg,Discord : dark728,200,2,60%,50%,Lethal,--,100%,0%,0%,0,300,No,--,--,--,--,--,,"Reducing this part's HP to 0 triggers [300, -75/s] BleedsOut."
Terminids / Medium / Brood commander / Claw (each),Terminids,12,Medium / Brood commander,3,Claw (each),--,https://i.postimg.cc/WzwbwJys/side-arms.jpg,https://i.postimg.cc/Vk6LXvWc/front-arms.jpg,Discord : dark728,200,2,50%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Brood commander / Leg (each),Terminids,12,Medium / Brood commander,4,Leg (each),--,https://i.postimg.cc/qBsRT9vW/side-legs.jpg,https://i.postimg.cc/KzLY4Wrk/front-legs.jpg,Discord : dark728,170,1,40%,60%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Alpha commander / [MAIN],Terminids,13,Medium / Alpha commander,1,[MAIN],1,https://i.postimg.cc/CMm3kNPz/side-main.jpg,https://i.postimg.cc/xCQwyFVb/front-main.jpg,Discord : dark728,1000,2,70%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"10, 0.5, N",--,"25, 0.85, Y","30, 0.85, Y",,No notes.
Terminids / Medium / Alpha commander / Head,Terminids,13,Medium / Alpha commander,2,Head,--,https://i.postimg.cc/d3HgFsk8/side-head.jpg,https://i.postimg.cc/8CL8vg9S/front-head.jpg,Discord : dark728,250,2,70%,100%,Lethal,--,100%,0%,0%,0,300,No,--,--,--,--,--,,"Reducing this part's HP to 0 triggers [300, -100/s] BleedsOut."
Terminids / Medium / Alpha commander / Claw (each),Terminids,13,Medium / Alpha commander,3,Claw (each),--,https://i.postimg.cc/T1YBBLwd/side-arms.jpg,https://i.postimg.cc/GhtZQyVz/front-arms.jpg,Discord : dark728,200,2,50%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Alpha commander / Leg (each),Terminids,13,Medium / Alpha commander,4,Leg (each),--,https://i.postimg.cc/jd1BkjrT/side-legs.jpg,https://i.postimg.cc/QtqR6kjY/front-legs.jpg,Discord : dark728,200,1,50%,60%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Nursing spewer / [MAIN],Terminids,14,Medium / Nursing spewer,1,[MAIN],1,https://i.postimg.cc/yYDb9z3b/side-main.jpg,https://i.postimg.cc/qRQ5cJG9/front-main.jpg,Discord : dark728,750,2,40%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"1, 0.5, N","20, 0.5, N",--,"30, 0.5, Y",,No notes.
Terminids / Medium / Nursing spewer / Head,Terminids,14,Medium / Nursing spewer,2,Head,--,https://i.postimg.cc/s2r6tQ6k/front-head.jpg,https://i.postimg.cc/8PxnmnhP/side-head.jpg,Discord : dark728,300,2,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Medium / Nursing spewer / Mouth,Terminids,14,Medium / Nursing spewer,3,Mouth,--,https://i.postimg.cc/s2r6tQ6k/front-head.jpg,https://i.postimg.cc/s2r6tQ6k/front-head.jpg,Discord : dark728,300,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Medium / Nursing spewer / Leg (each),Terminids,14,Medium / Nursing spewer,4,Leg (each),--,https://i.postimg.cc/y6QGkNxR/side-legs.jpg,https://i.postimg.cc/zGW2tSjw/front-legs.jpg,Discord : dark728,200,2,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Nursing spewer / Butt plates,Terminids,14,Medium / Nursing spewer,5,Butt plates,--,https://i.postimg.cc/SRstDBTj/side-plates.jpg,https://i.postimg.cc/hj4CGFqM/front-plates.jpg,Discord : dark728,500,2,80%,20%,Lethal,--,0%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Terminids / Medium / Nursing spewer / Butt,Terminids,14,Medium / Nursing spewer,6,Butt,--,https://i.postimg.cc/kGpYZTzs/side-belly.jpg,https://i.postimg.cc/rpNncV7K/front-belly.jpg,Discord : dark728,750,0,90%,60%,Lethal,--,0%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Terminids / Medium / Bile spewer / [MAIN],Terminids,15,Medium / Bile spewer,1,[MAIN],1,https://i.postimg.cc/s2smnF1y/side-main.jpg,https://i.postimg.cc/3JGzVTrD/front-main.jpg,Discord : dark728,750,3,40%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"1, 0.5, N","20, 0.5, N",--,"30, 0.5, Y",,No notes.
Terminids / Medium / Bile spewer / Head,Terminids,15,Medium / Bile spewer,2,Head,--,https://i.postimg.cc/c12VFHWS/front-head.jpg,https://i.postimg.cc/t4hDtRq2/side-head.jpg,Discord : dark728,300,3,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Medium / Bile spewer / Mouth,Terminids,15,Medium / Bile spewer,3,Mouth,--,https://i.postimg.cc/CxV9VQdr/front-mouth.jpg,https://i.postimg.cc/CxV9VQdr/front-mouth.jpg,Discord : dark728,300,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Terminids / Medium / Bile spewer / Front leg (each),Terminids,15,Medium / Bile spewer,4,Front leg (each),--,https://i.postimg.cc/8z8t6fS7/side-frontlegs.jpg,https://i.postimg.cc/RCNk1tjd/front-front-Legs.jpg,Discord : dark728,200,3,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Bile spewer / Rear leg (each),Terminids,15,Medium / Bile spewer,5,Rear leg (each),--,https://i.postimg.cc/59RPfkKq/side-backlegs.jpg,https://i.postimg.cc/cCgBK0k7/front-backlegs.jpg,Discord : dark728,200,2,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Terminids / Medium / Bile spewer / Butt plates,Terminids,15,Medium / Bile spewer,6,Butt plates,--,https://i.postimg.cc/4d35gzzS/side-plates.jpg,https://i.postimg.cc/bwHWY9ty/front-plates.jpg,Discord : dark728,500,3,80%,20%,Lethal,--,0%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Terminids / Medium / Bile spewer / Butt,Terminids,15,Medium / Bile spewer,7,Butt,--,https://i.postimg.cc/J4Hp0c9w/side-belly.jpg,https://i.postimg.cc/tJKtWw8K/front-belly.jpg,Discord : dark728,750,0,90%,60%,Lethal,--,0%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Terminids / Special / Shrieker / [MAIN],Terminids,16,Special / Shrieker,1,[MAIN],1,https://i.postimg.cc/MK1rtmt7/side-main.jpg,https://i.postimg.cc/fL38dcJ0/front-main.jpg,Discord : dark728,80,0,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"1, 0.5, N",--,--,--,,No notes.
